Cycles,Current density,Voltage
0.37471,10,242.12179
0.37526,10,242.80435
0.3758,10,243.48409
0.37634,10,244.161
0.37688,10,244.83508
0.37742,10,245.50631
0.37797,10,246.17469
0.37851,10,246.84021
0.37905,10,247.50286
0.37959,10,248.16264
0.38014,10,248.81954
0.38068,10,249.47355
0.38122,10,250.12465
0.38176,10,250.77286
0.38231,10,251.41815
0.38285,10,252.06052
0.38339,10,252.69996
0.38393,10,253.33647
0.38448,10,253.97004
0.38502,10,254.60065
0.38556,10,255.22831
0.3861,10,255.85301
0.38665,10,256.47473
0.38719,10,257.09347
0.38773,10,257.70923
0.38827,10,258.32199
0.38882,10,258.93176
0.38936,10,259.53851
0.3899,10,260.14225
0.39044,10,260.74297
0.39098,10,261.34066
0.39153,10,261.93532
0.39207,10,262.52693
0.39261,10,263.1155
0.39315,10,263.70101
0.3937,10,264.28345
0.39424,10,264.86283
0.39478,10,265.43913
0.39532,10,266.01234
0.39587,10,266.58247
0.39641,10,267.1495
0.39695,10,267.71343
0.39749,10,268.27424
0.39804,10,268.83194
0.39858,10,269.38652
0.39912,10,269.93797
0.39966,10,270.48629
0.40021,10,271.03146
0.40075,10,271.57349
0.40129,10,272.11236
0.40183,10,272.64807
0.40238,10,273.18061
0.40292,10,273.70998
0.40346,10,274.23617
0.404,10,274.75918
0.40454,10,275.27899
0.40509,10,275.79561
0.40563,10,276.30902
0.40617,10,276.81923
0.40671,10,277.32622
0.40726,10,277.82999
0.4078,10,278.33053
0.40834,10,278.82784
0.40888,10,279.32191
0.40943,10,279.81273
0.40997,10,280.30031
0.41051,10,280.78463
0.41105,10,281.26568
0.4116,10,281.74348
0.41214,10,282.218
0.41268,10,282.68924
0.41322,10,283.15719
0.41377,10,283.62186
0.41431,10,284.08324
0.41485,10,284.54131
0.41539,10,284.99608
0.41594,10,285.44754
0.41648,10,285.89569
0.41702,10,286.34051
0.41756,10,286.78201
0.4181,10,287.22017
0.41865,10,287.655
0.41919,10,288.08649
0.41973,10,288.51464
0.42027,10,288.93943
0.42082,10,289.36086
0.42136,10,289.77894
0.4219,10,290.19365
0.42244,10,290.60499
0.42299,10,291.01295
0.42353,10,291.41753
0.42407,10,291.81873
0.42461,10,292.21654
0.42516,10,292.61096
0.4257,10,293.00197
0.42624,10,293.38959
0.42678,10,293.77379
0.42733,10,294.15458
0.42787,10,294.53196
0.42841,10,294.90591
0.42895,10,295.27644
0.4295,10,295.64355
0.43004,10,296.00721
0.43058,10,296.36744
0.43112,10,296.72423
0.43166,10,297.07757
0.43221,10,297.42745
0.43275,10,297.77389
0.43329,10,298.11686
0.43383,10,298.45638
0.43438,10,298.79242
0.43492,10,299.125
0.43546,10,299.4541
0.436,10,299.77972
0.43655,10,300.10186
0.43709,10,300.42052
0.43763,10,300.73569
0.43817,10,301.04736
0.43872,10,301.35554
0.43926,10,301.66021
0.4398,10,301.96138
0.44034,10,302.25905
0.44089,10,302.5532
0.44143,10,302.84384
0.44197,10,303.13097
0.44251,10,303.41457
0.44306,10,303.69465
0.4436,10,303.9712
0.44414,10,304.24421
0.44468,10,304.5137
0.44522,10,304.77965
0.44577,10,305.04206
0.44631,10,305.30092
0.44685,10,305.55624
0.44739,10,305.80801
0.44794,10,306.05623
0.44848,10,306.30089
0.44902,10,306.542
0.44956,10,306.77954
0.45011,10,307.01353
0.45065,10,307.24394
0.45119,10,307.47079
0.45173,10,307.69407
0.45228,10,307.91377
0.45282,10,308.12989
0.45336,10,308.34244
0.4539,10,308.5514
0.45445,10,308.75679
0.45499,10,308.95858
0.45553,10,309.15679
0.45607,10,309.3514
0.45662,10,309.54243
0.45716,10,309.72985
0.4577,10,309.91368
0.45824,10,310.09391
0.45878,10,310.27054
0.45933,10,310.44356
0.45987,10,310.61298
0.46041,10,310.77879
0.46095,10,310.94099
0.4615,10,311.09958
0.46204,10,311.25456
0.46258,10,311.40592
0.46312,10,311.55366
0.46367,10,311.69779
0.46421,10,311.83829
0.46475,10,311.97518
0.46529,10,312.10843
0.46584,10,312.23807
0.46638,10,312.36407
0.46692,10,312.48645
0.46746,10,312.6052
0.46801,10,312.72032
0.46855,10,312.83181
0.46909,10,312.93966
0.46963,10,313.04388
0.47018,10,313.14446
0.47072,10,313.2414
0.47126,10,313.33471
0.4718,10,313.42438
0.47234,10,313.5104
0.47289,10,313.59279
0.47343,10,313.67153
0.47397,10,313.74663
0.47451,10,313.81808
0.47506,10,313.88589
0.4756,10,313.95006
0.47614,10,314.01058
0.47668,10,314.06745
